,horse_id,sex,age,date,dateforda,track,weather,race_num,horse_num_anim,horse_num,odds,popularity,order,order_complex,jockey,weight,dirt_grass,distance,condition,time,3furlong,horse_weight,weight_incdec,same_track,g1_age3,g2_age3,g3_age3,g1_age4,g2_age4,g3_age4,money
18,2008103069,3,6,2014/01/26,4862,7,6,11.0,16.0,2,6.7,2.0,0,0,1115,58.0,2,1800,4,111.4,38.5,538,14,0,0,0,0,0,1,0,0.0
19,2008103069,3,5,2013/12/01,4806,9,6,11.0,16.0,2,43.0,11.0,0,0,5212,57.0,2,1800,4,111.6,37.1,524,-10,0,0,0,0,1,0,0,0.0
20,2008103069,3,5,2013/11/03,4777,8,3,11.0,16.0,14,7.5,4.0,0,0,5212,59.0,2,1800,4,110.8,37.3,534,11,0,0,0,0,0,0,1,0.0
21,2008103069,3,5,2013/10/14,4757,35,6,11.0,13.0,3,5.5,3.0,0,0,1115,57.0,2,1600,4,96.1,35.7,523,-3,0,0,0,0,1,0,0,405.0
18,2010104916,3,4,2014/11/09,5155,8,5,11.0,16.0,14,5.5,2.0,1,1,1096,56.0,2,1800,4,110.2,36.0,488,6,0,0,0,0,0,0,1,3760.2
19,2010104916,3,4,2014/09/20,5104,4,6,11.0,12.0,5,1.4,1.0,1,1,1096,57.0,2,1800,4,111.2,35.7,482,0,0,0,0,0,0,0,0,2026.6
20,2010104916,3,4,2014/08/30,5083,4,6,11.0,10.0,5,2.8,2.0,1,1,1096,57.0,2,1800,4,110.6,38.3,482,8,0,0,0,0,0,0,0,2023.8
21,2010104916,3,4,2014/07/27,5049,1,3,11.0,13.0,12,34.3,10.0,0,1,1096,57.0,2,1700,1,102.7,36.9,474,-12,0,0,0,0,0,0,1,886.5
22,2010104916,3,3,2013/12/01,4806,9,6,11.0,16.0,15,35.9,9.0,0,0,1096,55.0,2,1800,4,112.0,37.9,486,0,0,0,0,0,1,0,0,0.0
23,2010104916,3,3,2013/11/03,4777,8,3,11.0,16.0,11,16.6,7.0,0,1,1096,55.0,2,1800,4,109.2,36.2,486,8,0,0,0,0,0,0,1,1417.8
24,2010104916,3,3,2013/09/15,4727,6,6,11.0,16.0,3,2.9,2.0,0,0,1096,54.0,2,1800,1,110.9,37.1,478,-8,0,0,0,0,0,0,0,0.0
21,2010110127,3,4,2014/11/03,5149,35,5,10.0,16.0,9,6.7,5.0,0,0,5386,57.0,2,2000,2,121.9,36.7,513,7,0,0,0,0,1,0,0,400.0
22,2010110127,3,4,2014/10/13,5128,35,5,11.0,15.0,10,1.2,1.0,1,1,5386,57.0,2,1600,4,95.9,35.5,506,-6,0,0,0,0,1,0,0,4500.0
23,2010110127,3,4,2014/07/13,5035,7,5,11.0,16.0,6,1.9,1.0,1,1,5386,56.0,2,1400,3,82.6,35.4,512,-2,0,0,0,0,0,0,1,3558.8
24,2010110127,3,4,2014/06/14,5005,5,6,11.0,14.0,10,1.6,1.0,0,1,5386,57.5,2,1600,3,94.6,35.4,514,4,0,0,0,0,0,0,0,813.4
25,2010110127,3,4,2014/05/04,4964,5,6,10.0,16.0,10,1.5,1.0,1,1,5386,57.0,2,1600,4,95.8,36.4,510,0,0,0,0,0,0,0,0,2048.3
26,2010110127,3,4,2014/02/23,4890,5,6,11.0,16.0,2,7.0,3.0,0,0,1115,57.0,2,1600,4,96.9,35.7,510,0,0,0,0,0,1,0,0,0.0
27,2010110127,3,4,2014/02/08,4875,8,5,11.0,15.0,9,2.4,1.0,1,1,1115,56.0,2,1400,2,81.7,34.9,510,2,0,0,0,0,0,0,0,2049.0
21,2010106548,3,4,2014/11/03,5149,35,5,10.0,16.0,15,4.8,3.0,1,1,1075,57.0,2,2000,2,120.8,35.7,535,1,0,0,0,0,1,0,0,8000.0
22,2010106548,3,4,2014/06/25,5016,44,5,12.0,11.0,7,1.6,1.0,0,1,1075,57.0,2,2000,1,123.9,36.4,534,-3,1,0,0,0,1,0,0,2100.0
23,2010106548,3,4,2014/05/05,4965,43,5,11.0,8.0,5,2.4,2.0,1,1,1075,57.0,2,1600,4,99.2,36.5,537,7,0,0,0,0,1,0,0,6000.0
24,2010106548,3,4,2014/02/23,4890,5,6,11.0,16.0,13,272.1,16.0,1,1,1075,57.0,2,1600,4,96.0,35.3,530,4,0,0,0,0,1,0,0,9740.2
25,2010106548,3,3,2013/12/23,4828,6,6,11.0,16.0,6,6.6,3.0,0,0,5386,56.0,2,1800,3,112.3,38.1,526,2,0,0,0,0,0,0,0,0.0
26,2010106548,3,3,2013/11/17,4791,5,6,11.0,16.0,3,4.0,1.0,0,0,422,56.0,2,1400,4,84.8,37.1,524,-6,0,0,0,0,0,0,0,0.0
27,2010106548,3,3,2013/05/02,4590,50,6,10.0,11.0,9,1.5,1.0,1,1,1014,56.0,2,1870,4,118.4,37.5,530,2,0,0,0,0,0,1,0,2800.0
9,2007100191,3,7,2014/11/09,5155,8,5,11.0,16.0,7,6.5,3.0,0,0,1034,58.0,2,1800,4,110.8,36.8,540,10,0,0,0,0,0,0,1,0.0
10,2007100191,3,7,2014/06/25,5016,44,5,12.0,11.0,2,4.1,2.0,0,0,1034,57.0,2,2000,1,124.6,37.0,530,-4,1,0,0,0,1,0,0,600.0
11,2007100191,3,7,2014/04/19,4948,9,6,11.0,16.0,12,1.8,1.0,0,1,1034,58.0,2,1800,4,111.5,36.4,534,7,0,0,0,0,0,0,1,888.7
12,2007100191,3,7,2014/03/19,4917,43,5,11.0,14.0,3,2.1,2.0,1,1,1034,56.0,2,2400,3,154.6,38.4,527,-1,0,0,0,0,0,1,0,3200.0
13,2007100191,3,7,2014/02/23,4890,5,6,11.0,16.0,7,7.8,4.0,0,0,1034,57.0,2,1600,4,96.7,35.5,528,-16,0,0,0,0,1,0,0,0.0
14,2007100191,3,7,2014/01/26,4862,7,6,11.0,16.0,14,1.6,1.0,1,1,1034,57.0,2,1800,4,110.4,37.5,544,9,0,0,0,0,0,1,0,5417.6
15,2007100191,3,6,2013/12/29,4834,44,6,10.0,9.0,6,3.8,3.0,0,1,1034,57.0,2,2000,4,127.4,36.8,535,-5,1,0,0,0,1,0,0,1400.0
19,2010104098,3,4,2014/11/03,5149,35,5,10.0,16.0,6,2.8,1.0,0,1,5339,57.0,2,2000,2,121.3,35.7,493,8,0,0,0,0,1,0,0,1840.0
20,2010104098,3,4,2014/09/23,5107,43,6,11.0,10.0,8,1.4,1.0,1,1,5386,57.0,2,1800,4,110.1,36.9,485,-4,0,0,0,0,0,1,0,3200.0
21,2010104098,3,4,2014/07/21,5043,35,6,9.0,13.0,11,7.7,3.0,0,1,422,59.0,2,2000,4,122.0,37.8,489,-11,0,0,0,0,0,0,1,529.0
22,2010104098,3,4,2014/06/29,5020,2,5,11.0,13.0,9,3.0,1.0,0,0,1122,56.0,2,1700,4,105.6,37.2,500,8,0,0,0,0,0,0,0,0.0
23,2010104098,3,4,2014/05/11,4971,5,6,10.0,14.0,4,7.4,3.0,0,0,5416,57.0,2,2100,4,131.9,35.8,492,-2,0,0,0,0,0,0,0,300.0
24,2010104098,3,4,2014/04/19,4948,9,6,11.0,16.0,6,65.1,10.0,0,0,5115,59.0,2,1800,4,112.1,36.7,494,0,0,0,0,0,0,0,1,0.0
25,2010104098,3,4,2014/03/30,4928,6,4,11.0,16.0,13,8.8,4.0,0,0,5115,57.0,2,1800,2,114.7,40.8,494,-14,0,0,0,0,0,0,1,0.0
5,2006103226,3,8,2014/11/15,5161,5,6,11.0,16.0,13,62.4,12.0,0,0,0,57.0,2,1600,4,95.9,37.3,526,5,0,0,0,0,0,0,1,560.0
6,2006103226,3,8,2014/09/23,5107,43,6,11.0,10.0,10,7.7,3.0,0,1,1088,56.0,2,1800,4,111.5,38.2,521,-5,0,0,0,0,0,1,0,1120.0
7,2006103226,3,8,2014/07/13,5035,7,5,11.0,16.0,9,44.9,9.0,0,0,5454,57.0,2,1400,3,83.1,36.3,526,-1,0,0,0,0,0,0,1,0.0
8,2006103226,3,8,2014/05/28,4988,42,6,11.0,12.0,12,8.4,4.0,0,0,1088,56.0,2,1400,2,89.1,39.9,527,-5,0,0,0,0,0,1,0,0.0
9,2006103226,3,8,2014/04/29,4958,48,3,11.0,12.0,4,2.9,2.0,0,1,1088,55.0,2,1400,1,87.3,37.4,532,-3,0,0,0,0,0,0,1,273.0
10,2006103226,3,8,2014/03/26,4924,48,3,10.0,12.0,9,3.9,3.0,1,1,1088,54.0,2,1900,1,121.9,38.0,535,3,0,0,0,0,0,0,1,2100.0
11,2006103226,3,8,2014/02/23,4890,5,6,11.0,16.0,14,181.2,15.0,0,0,1122,57.0,2,1600,4,96.7,35.9,532,4,0,0,0,0,1,0,0,0.0
1,2009103532,1,6,2015/11/03,5521,44,6,8.0,15.0,6,1.3,1.0,0,1,5203,55.0,2,1800,1,112.6,40.1,473,-3,1,0,0,0,1,0,0,1435.0
2,2009103532,1,6,2015/10/01,5488,44,3,11.0,14.0,12,2.5,2.0,1,1,5203,57.0,2,1800,3,110.2,36.3,476,-10,1,0,0,0,0,1,0,3100.0
3,2009103532,1,6,2015/08/13,5438,30,5,10.0,14.0,10,2.6,1.0,0,1,5203,58.0,2,2000,4,128.1,38.5,486,10,0,0,0,0,0,0,1,500.0
4,2009103532,1,6,2015/07/01,5395,45,5,11.0,12.0,7,1.4,1.0,0,1,5203,58.0,2,1600,2,101.7,39.8,476,-3,0,0,0,0,0,0,1,500.0
5,2009103532,1,6,2015/05/05,5337,43,6,11.0,10.0,1,2.9,2.0,0,0,5203,55.0,2,1600,4,99.2,38.8,479,-2,0,0,0,0,1,0,0,300.0
6,2009103532,1,6,2015/04/14,5315,43,4,10.0,12.0,8,1.6,1.0,1,1,5203,58.0,2,1600,1,98.4,37.0,481,5,0,0,0,0,0,0,1,2100.0
7,2009103532,1,6,2015/02/22,5261,5,5,11.0,16.0,9,15.6,6.0,0,0,5473,55.0,2,1600,4,96.7,36.2,476,3,0,0,0,0,1,0,0,0.0
36,2012104314,3,3,2015/11/14,5532,5,3,11.0,14.0,10,3.9,2.0,1,1,5339,58.0,2,1600,3,94.7,35.2,452,4,0,0,0,0,0,0,1,3750.4
37,2012104314,3,3,2015/07/08,5402,44,3,11.0,13.0,9,2.8,2.0,1,1,5339,56.0,2,2000,1,125.6,37.3,448,0,1,1,0,0,0,0,0,4500.0
38,2012104314,3,3,2015/06/21,5384,5,4,11.0,16.0,10,4.6,2.0,1,1,5339,56.0,2,1600,3,95.9,35.5,448,0,0,0,0,1,0,0,0,3456.7
39,2012104314,3,3,2015/05/17,5349,5,6,10.0,12.0,4,7.7,5.0,1,1,5339,56.0,2,1600,4,96.4,34.7,448,0,0,0,0,0,0,0,0,1826.6
40,2012104314,3,3,2015/04/05,5306,6,4,10.0,14.0,14,10.9,5.0,0,0,660,56.0,2,1800,3,113.6,37.4,448,4,0,0,0,0,0,0,0,180.0
41,2012104314,3,3,2015/03/01,5271,6,5,4.0,14.0,1,3.3,2.0,1,1,5473,56.0,2,1800,3,114.5,38.7,444,-4,0,0,0,0,0,0,0,720.0
42,2012104314,3,3,2015/02/14,5253,5,6,6.0,16.0,13,3.4,2.0,0,1,1150,53.0,2,1600,4,98.4,37.3,448,-4,0,0,0,0,0,0,0,180.0
38,2010102446,2,5,2015/11/03,5521,44,6,10.0,16.0,5,8.8,4.0,0,1,1096,57.0,2,2000,1,124.9,36.7,474,3,1,0,0,0,1,0,0,2800.0
39,2010102446,2,5,2015/10/07,5494,43,6,11.0,12.0,7,9.5,3.0,1,1,1096,56.0,2,1800,4,110.2,37.2,471,-5,0,0,0,0,0,1,0,3200.0
40,2010102446,2,5,2015/07/19,5413,7,5,11.0,14.0,10,7.2,5.0,1,1,1096,56.0,2,1800,3,111.6,37.2,476,0,0,0,0,0,0,0,0,2129.4
41,2010102446,2,5,2015/06/13,5376,5,5,11.0,16.0,15,3.9,1.0,0,0,1096,54.0,2,1600,4,96.3,35.7,476,0,0,0,0,0,0,0,0,0.0
