,horse_id,sex,age,date,dateforda,track,weather,race_num,horse_num_anim,horse_num,odds,popularity,order,order_complex,jockey,weight,dirt_grass,distance,condition,time,3furlong,horse_weight,weight_incdec,same_track,g1_age3,g2_age3,g3_age3,g1_age4,g2_age4,g3_age4,money
45,2012106253,3,5,2017/03/30,6044,48,6,11.0,9,1,3.0,1.0,0,0,5212,54.0,2,1900,4,123.8,41.0,470,-6,0,0,0,0,0,0,0,126.0
46,2012106253,3,5,2017/02/12,5995,8,6,10.0,12,10,5.0,3.0,1,1,5212,55.0,2,1900,2,117.7,36.4,476,8,0,0,0,0,0,0,0,2226.6
24,2011102556,3,6,2017/09/30,6230,9,6,11.0,16,4,74.2,11.0,1,1,1015,55.0,2,2000,4,123.9,36.8,478,6,0,0,0,0,0,0,0,3657.4
25,2011102556,3,6,2017/09/17,6217,6,3,11.0,16,12,49.0,12.0,0,0,1092,57.0,2,1800,1,111.3,37.5,472,-4,0,0,0,0,0,0,0,0.0
26,2011102556,3,6,2017/08/13,6182,1,5,11.0,14,13,42.9,9.0,0,0,700,56.0,2,1700,2,102.7,36.5,476,2,0,0,0,0,0,0,0,0.0
27,2011102556,3,6,2017/07/09,6147,2,5,11.0,14,5,7.9,2.0,0,0,1095,56.0,2,1700,4,104.1,37.3,474,0,0,0,0,0,0,0,0,0.0
28,2011102556,3,6,2017/06/24,6131,2,6,11.0,14,6,8.7,5.0,0,1,1095,57.0,2,1700,4,103.6,37.4,474,-6,0,0,0,0,0,0,0,554.2
13,2013101999,3,4,2017/08/13,6182,1,5,11.0,14,2,12.2,4.0,1,1,5203,57.0,2,1700,2,100.9,35.6,510,-14,0,0,0,0,0,0,0,3649.7
14,2013101999,3,4,2017/05/20,6096,8,6,11.0,16,11,14.7,5.0,0,0,1126,57.0,2,1900,4,117.8,38.9,524,8,0,0,0,0,0,0,0,0.0
15,2013101999,3,4,2017/04/15,6060,9,6,11.0,16,4,13.5,6.0,0,1,1088,57.0,2,1800,4,110.2,36.4,516,2,0,0,0,0,0,0,0,1416.0
16,2013101999,3,4,2017/03/26,6040,6,4,11.0,16,12,5.8,3.0,0,0,5243,57.0,2,1800,3,112.3,38.7,514,-2,0,0,0,0,0,0,0,540.0
17,2013101999,3,4,2017/02/07,5990,55,5,10.0,11,6,2.9,1.0,1,1,1088,55.0,2,2000,1,126.7,37.0,516,0,0,0,0,0,0,0,0,2300.0
