,horse_id,sex,age,date,track,weather,race_num,horse_num_anim,horse_num,odds,popularity,order,jockey,weight,dirt_grass,distance,condition,time,3furlong,horse_weight,weight_incdec,same_track,g1_age3,g2_age3,g3_age3,g1_age4,g2_age4,g3_age4,money
7,2011104994,3,7,2018/07/15,7,6,11.0,15,15,32.8,9.0,0,1037,60.0,2,1800,4,111.0,37.3,530,10,0,0,0,0,0,0,0,330.0
8,2011104994,3,7,2018/06/09,5,6,11.0,16,5,42.6,9.0,0,1037,57.0,2,1600,4,95.8,36.3,520,-6,0,0,0,0,0,0,0,330.0
14,2013104055,3,5,2018/12/02,7,6,11.0,15,8,5.0,2.0,0,1014,57.0,2,1800,4,111.5,36.7,528,10,0,0,0,0,1,0,0,0.0
15,2013104055,3,5,2018/11/04,8,6,11.0,16,8,4.2,3.0,1,1014,57.0,2,1900,4,116.7,37.0,518,10,0,0,0,0,1,0,0,9340.2
16,2013104055,3,5,2018/10/03,43,5,11.0,12,6,1.9,1.0,1,1014,58.0,2,1800,3,112.5,36.4,508,-4,0,0,0,0,0,1,1,3200.0
17,2013104055,3,5,2018/06/27,44,6,11.0,15,2,2.8,1.0,0,1014,57.0,2,2000,4,124.3,38.8,512,1,1,0,0,0,1,0,0,2100.0
18,2013104055,3,5,2018/03/14,43,6,11.0,9,1,1.8,1.0,1,1014,56.0,2,2400,3,154.8,40.4,511,-5,0,0,0,0,0,1,1,3200.0
21,2012104019,3,6,2018/12/02,7,6,11.0,15,10,251.8,14.0,0,1095,57.0,2,1800,4,111.7,36.7,532,0,0,0,0,0,1,0,0,0.0
22,2012104019,3,6,2018/11/04,8,6,11.0,16,1,25.7,8.0,0,732,57.0,2,1900,4,118.1,38.4,532,3,0,0,0,0,1,0,0,0.0
23,2012104019,3,6,2018/10/02,46,6,11.0,11,8,6.6,4.0,0,1096,55.0,2,2100,3,132.5,38.1,529,-7,0,0,0,0,0,0,0,483.0
24,2012104019,3,6,2018/03/25,6,6,11.0,16,8,6.1,2.0,1,732,57.0,2,1800,4,112.1,37.6,536,0,0,0,0,0,0,0,0,3658.8
25,2012104019,3,6,2018/03/04,6,6,10.0,16,4,3.6,1.0,1,1096,57.0,2,1800,4,112.8,38.0,536,4,0,0,0,0,0,0,0,2234.3
6,2012110098,3,6,2018/12/02,7,6,11.0,15,4,204.6,13.0,0,894,57.0,2,1800,4,111.8,36.7,574,5,0,0,0,0,1,0,0,0.0
7,2012110098,3,6,2018/11/23,42,6,10.0,11,2,3.8,2.0,0,5509,58.0,2,2000,4,127.1,38.6,569,-5,0,0,0,0,0,1,1,350.0
8,2012110098,3,6,2018/11/04,8,6,11.0,16,12,7.7,4.0,0,5212,57.0,2,1900,4,118.5,38.1,574,16,0,0,0,0,1,0,0,0.0
9,2012110098,3,6,2018/10/03,43,5,11.0,12,4,4.0,2.0,0,5509,57.0,2,1800,3,112.9,36.6,558,4,0,0,0,0,0,1,1,1120.0
10,2012110098,3,6,2018/06/27,44,6,11.0,15,9,8.9,5.0,0,422,57.0,2,2000,4,126.5,39.1,554,-12,1,0,0,0,1,0,0,0.0
0,2014190002,3,4,2018/12/02,7,6,11.0,15,3,27.3,7.0,0,0,57.0,2,1800,4,111.8,37.1,496,0,0,0,0,0,1,0,0,0.0
