,horse_id,sex,age,date,dateforda,track,weather,race_num,horse_num_anim,horse_num,odds,popularity,order,order_complex,jockey,weight,dirt_grass,distance,condition,time,3furlong,horse_weight,weight_incdec,same_track,g1_age3,g2_age3,g3_age3,g1_age4,g2_age4,g3_age4,money
21,2010104098,3,4,2014/07/21,5043,35,6,9.0,13.0,11,7.7,3.0,0,1,422,59.0,2,2000,4,122.0,37.8,489,-11,0,0,0,0,0,0,0,529.0
22,2010104098,3,4,2014/06/29,5020,2,5,11.0,13.0,9,3.0,1.0,0,0,1122,56.0,2,1700,4,105.6,37.2,500,8,0,0,0,0,0,0,0,0.0
23,2010104098,3,4,2014/05/11,4971,5,6,10.0,14.0,4,7.4,3.0,0,0,5416,57.0,2,2100,4,131.9,35.8,492,-2,0,0,0,0,0,0,0,300.0
5,2006103226,3,8,2014/11/15,5161,5,6,11.0,16.0,13,62.4,12.0,0,0,0,57.0,2,1600,4,95.9,37.3,526,5,0,0,0,0,0,0,0,560.0
6,2006103226,3,8,2014/09/23,5107,43,6,11.0,10.0,10,7.7,3.0,0,1,1088,56.0,2,1800,4,111.5,38.2,521,-5,0,0,0,0,0,1,1,1120.0
7,2006103226,3,8,2014/07/13,5035,7,5,11.0,16.0,9,44.9,9.0,0,0,5454,57.0,2,1400,3,83.1,36.3,526,-1,0,0,0,0,0,0,0,0.0
8,2006103226,3,8,2014/05/28,4988,42,6,11.0,12.0,12,8.4,4.0,0,0,1088,56.0,2,1400,2,89.1,39.9,527,-5,0,0,0,0,0,1,1,0.0
9,2006103226,3,8,2014/04/29,4958,48,3,11.0,12.0,4,2.9,2.0,0,1,1088,55.0,2,1400,1,87.3,37.4,532,-3,0,0,0,0,0,0,0,273.0
1,2009103532,1,6,2015/11/03,5521,44,6,8.0,15.0,6,1.3,1.0,0,1,5203,55.0,2,1800,1,112.6,40.1,473,-3,1,0,0,0,1,0,0,1435.0
2,2009103532,1,6,2015/10/01,5488,44,3,11.0,14.0,12,2.5,2.0,1,1,5203,57.0,2,1800,3,110.2,36.3,476,-10,1,0,0,0,0,1,1,3100.0
3,2009103532,1,6,2015/08/13,5438,30,5,10.0,14.0,10,2.6,1.0,0,1,5203,58.0,2,2000,4,128.1,38.5,486,10,0,0,0,0,0,0,0,500.0
4,2009103532,1,6,2015/07/01,5395,45,5,11.0,12.0,7,1.4,1.0,0,1,5203,58.0,2,1600,2,101.7,39.8,476,-3,0,0,0,0,0,0,0,500.0
5,2009103532,1,6,2015/05/05,5337,43,6,11.0,10.0,1,2.9,2.0,0,0,5203,55.0,2,1600,4,99.2,38.8,479,-2,0,0,0,0,1,0,0,300.0
36,2012104314,3,3,2015/11/14,5532,5,3,11.0,14.0,10,3.9,2.0,1,1,5339,58.0,2,1600,3,94.7,35.2,452,4,0,0,0,0,0,0,0,3750.4
37,2012104314,3,3,2015/07/08,5402,44,3,11.0,13.0,9,2.8,2.0,1,1,5339,56.0,2,2000,1,125.6,37.3,448,0,1,1,0,0,0,0,0,4500.0
38,2012104314,3,3,2015/06/21,5384,5,4,11.0,16.0,10,4.6,2.0,1,1,5339,56.0,2,1600,3,95.9,35.5,448,0,0,0,0,1,0,0,0,3456.7
39,2012104314,3,3,2015/05/17,5349,5,6,10.0,12.0,4,7.7,5.0,1,1,5339,56.0,2,1600,4,96.4,34.7,448,0,0,0,0,0,0,0,0,1826.6
40,2012104314,3,3,2015/04/05,5306,6,4,10.0,14.0,14,10.9,5.0,0,0,660,56.0,2,1800,3,113.6,37.4,448,4,0,0,0,0,0,0,0,180.0
38,2010102446,2,5,2015/11/03,5521,44,6,10.0,16.0,5,8.8,4.0,0,1,1096,57.0,2,2000,1,124.9,36.7,474,3,1,0,0,0,1,0,0,2800.0
39,2010102446,2,5,2015/10/07,5494,43,6,11.0,12.0,7,9.5,3.0,1,1,1096,56.0,2,1800,4,110.2,37.2,471,-5,0,0,0,0,0,1,1,3200.0
40,2010102446,2,5,2015/07/19,5413,7,5,11.0,14.0,10,7.2,5.0,1,1,1096,56.0,2,1800,3,111.6,37.2,476,0,0,0,0,0,0,0,0,2129.4
41,2010102446,2,5,2015/06/13,5376,5,5,11.0,16.0,15,3.9,1.0,0,0,1096,54.0,2,1600,4,96.3,35.7,476,0,0,0,0,0,0,0,0,0.0
42,2010102446,2,5,2015/05/23,5355,8,5,11.0,16.0,5,54.1,12.0,0,0,1096,56.0,2,1900,4,115.7,36.3,476,0,0,0,0,0,0,0,0,0.0
17,2011104144,3,4,2015/11/08,5526,8,4,11.0,11.0,2,23.4,7.0,1,1,1115,56.0,2,1800,1,107.8,35.7,498,0,0,0,0,0,0,0,0,3739.2
18,2011104144,3,4,2015/10/25,5512,5,6,11.0,15.0,1,3.0,1.0,0,0,5473,55.0,2,2100,4,131.2,36.9,498,-2,0,0,0,0,0,0,0,320.0
19,2011104144,3,4,2015/07/18,5412,3,3,11.0,15.0,8,3.6,2.0,1,1,660,57.0,2,1700,3,103.7,36.2,500,0,0,0,0,0,0,0,0,1851.5
20,2011104144,3,4,2015/07/04,5398,3,5,10.0,15.0,10,2.0,1.0,1,1,5339,57.0,2,1700,4,104.8,37.1,500,-8,0,0,0,0,0,0,0,1535.0
21,2011104144,3,4,2015/06/13,5376,5,5,9.0,14.0,4,1.7,1.0,0,1,5339,57.0,2,2100,4,132.3,36.7,508,10,0,0,0,0,0,0,0,608.4
6,2009100921,3,6,2015/11/03,5521,44,6,10.0,16.0,10,1.4,1.0,0,1,732,57.0,2,2000,1,125.0,37.4,502,0,1,0,0,0,1,0,0,1600.0
7,2009100921,3,6,2015/06/24,5387,44,6,11.0,12.0,1,1.5,1.0,1,1,732,57.0,2,2000,4,122.7,38.6,502,0,1,0,0,0,1,0,0,6000.0
8,2009100921,3,6,2015/01/28,5236,45,6,11.0,12.0,5,1.0,1.0,1,1,732,57.0,2,2100,2,136.9,39.4,507,6,0,0,0,0,1,0,0,6000.0
9,2009100921,3,5,2014/12/29,5206,44,5,10.0,16.0,6,1.7,1.0,1,1,732,57.0,2,2000,2,123.0,36.9,501,-7,1,0,0,0,1,0,0,7000.0
10,2009100921,3,5,2014/12/07,5184,7,6,11.0,16.0,8,5.9,2.0,1,1,732,57.0,2,1800,4,111.0,36.4,508,2,0,0,0,0,1,0,0,9740.2
2,2006106794,3,9,2015/10/12,5499,35,5,11.0,15.0,14,5.5,2.0,0,1,1018,57.0,2,1600,3,97.1,38.6,512,5,0,0,0,0,1,0,0,585.0
3,2006106794,3,9,2015/06/24,5387,44,6,11.0,12.0,6,6.8,3.0,0,0,1018,57.0,2,2000,4,125.0,40.6,507,-1,1,0,0,0,1,0,0,0.0
4,2006106794,3,9,2015/05/05,5337,43,6,11.0,10.0,7,18.4,4.0,1,1,1018,57.0,2,1600,4,97.4,37.1,508,-16,0,0,0,0,1,0,0,6000.0
5,2006106794,3,9,2015/02/22,5261,5,5,11.0,16.0,13,46.4,10.0,0,0,5528,57.0,2,1600,4,96.8,36.4,524,8,0,0,0,0,1,0,0,0.0
6,2006106794,3,8,2014/12/29,5206,44,5,10.0,16.0,14,6.6,3.0,0,0,666,57.0,2,2000,2,124.9,38.6,516,-6,1,0,0,0,1,0,0,0.0
15,2010106548,3,5,2015/11/03,5521,44,6,10.0,16.0,15,6.2,3.0,1,1,666,57.0,2,2000,1,124.4,37.0,524,0,1,0,0,0,1,0,0,8000.0
